205, 242, 175
107, 143, 71
124, 156, 89
111, 144, 75
81, 119, 62
106, 141, 87
59, 99, 13
107, 146, 63
107, 145, 72
58, 95, 26
88, 125, 56
119, 157, 82
92, 123, 47
136, 174, 91
123, 160, 82
69, 107, 48
58, 95, 26
126, 164, 103
226, 238, 188
224, 237, 181
216, 232, 169
112, 134, 62
55, 89, 39
34, 70, 22
162, 191, 125
47, 31, 31
46, 30, 30
47, 27, 28
49, 35, 32
50, 28, 31
45, 25, 26
51, 33, 31
34, 27, 21
48. 28, 29
59, 39, 41
40, 29, 25
38, 23, 18
52, 32, 33
50, 32, 32
53, 37, 37
40, 20, 22
49, 29, 30
45, 29, 29
44, 33, 31
44, 36, 33
44, 28, 28
53, 33, 34
46, 26, 27
38, 24, 23
36, 25, 23
44, 28, 28
249, 244, 176
214, 210, 139
204, 202, 141
227, 216, 136
221, 214, 142
255, 255, 175
243, 235, 170
119, 126, 82
177, 174, 107
142, 130, 32
120, 108, 24
105, 107, 32
157, 173, 111
225, 255, 167
156, 166, 105
149, 164, 99
149, 166, 114
180, 196, 151
141, 156, 97
177, 177, 123
214, 227, 173
91, 98, 21
106, 94, 54
155, 146, 105
39, 27, 0
22, 44, 0
0, 16, 0
0, 12, 0
23, 45, 0
1, 23, 0
33, 53, 4
28, 46, 0
6, 13, 5
14, 25, 11
23, 31, 18
27, 38, 24
6, 13, 0
17, 30, 12
33, 36, 26
17, 33, 7
30, 44, 21
21, 36, 17
32, 22, 21
33, 37, 22
5, 13, 0
3, 23, 0
8, 19, 2
22, 40, 14
12, 13, 0
